AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2007,27,3,10,1,4,6475600.0,4
2007,27,3,11,1,4,5545275.0,2
2007,27,3,13,1,3,1626709.0,1
2007,27,3,13,1,4,6225006.0,3
2007,27,3,15,1,4,353100.0,1
2007,28,3,6,1,3,997460.0,2
2007,28,3,7,1,3,299910.0,1
2007,28,3,9,1,3,278200.0,1
2007,30,3,3,1,3,50000.0,1
2007,30,3,4,1,3,550301.0,2
2007,30,3,6,1,3,1614492.0,3
2007,30,3,7,1,3,610000.0,2
2007,30,3,9,1,3,287158.0,1
2007,30,3,10,1,3,229785.0,3
2007,30,3,11,1,3,328383.0,1
2007,30,3,13,1,3,209774.0,1
2007,35,3,3,1,4,300000.0,1
2007,35,3,6,1,4,639970.63,3
2007,35,3,7,1,4,874999.6,3
2007,35,3,9,1,4,175938.0,1
2007,35,3,11,1,4,770000.34,3
2007,35,3,15,1,4,240000.0,1
2007,36,3,5,1,3,872224.0,1
2007,36,3,6,1,4,1875003.75,2
2007,36,3,7,1,3,796570.0,2
2007,36,3,7,1,4,3526590.86,6
2007,36,3,8,1,3,598019.0,1
2007,36,3,11,1,4,3050099.36,3
2007,36,3,12,1,4,290209.0,2
2007,36,3,13,1,3,1100730.0,1
2007,36,3,13,1,4,256213.0,1
2007,39,3,4,1,3,161599.0,1
2007,40,3,6,1,3,1752363.0,2
2007,40,3,7,1,3,428072.0,2
2007,40,3,9,1,3,80765.0,1
2007,40,3,11,1,3,235756.0,1
2007,43,3,5,1,3,685295.0,2
2007,43,3,6,1,3,2844740.0,3
2007,43,3,7,1,3,5043208.61,4
2007,43,3,10,1,3,395900.0,1
2007,43,3,11,1,3,608295.0,2
2007,43,3,12,1,3,1243875.0,1
2007,45,3,4,1,3,254660.0,1
2007,45,3,6,1,3,337157.0,2
2007,45,3,6,1,4,1000000.0,2
2007,45,3,7,1,4,500000.0,1
2007,45,3,9,1,4,662330.0,1
2007,45,3,10,1,4,615715.0,2
2007,45,3,11,1,4,498560.0,2
2007,48,3,4,1,3,770383.0,1
2007,48,3,6,1,3,1134481.0,2
2007,48,3,7,1,3,535000.0,1
2007,48,3,13,1,3,720042.44,3
2007,49,3,4,1,3,3533359.0,1
2007,52,3,4,1,4,1402235.0,1
2007,52,3,6,1,3,1187246.32,1
2007,52,3,6,1,4,500011.0,1
2007,52,3,7,1,3,756811.0,1
