DonorId,FiscalYear,FundType,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
129,2011,CBPF,0,5313466,02-2011,87
180,2011,CBPF,0,25493,02-2011,74
183,2011,CBPF,0,16974300,02-2011,87
30,2011,CBPF,0,61337,03-2011,45
46,2011,CBPF,0,400000,03-2011,45
86,2011,CBPF,0,2074922,03-2011,18
86,2011,CBPF,0,2737186,03-2011,27
86,2011,CBPF,0,1366672,03-2011,87
86,2011,CBPF,0,2737186,03-2011,80
116,2011,CBPF,0,10308,03-2011,45
129,2011,CBPF,0,5273184,03-2011,27
129,2011,CBPF,0,1238280,03-2011,36
129,2011,CBPF,0,17689722,03-2011,80
158,2011,CBPF,0,686813,03-2011,22
180,2011,CBPF,0,1000,03-2011,74
183,2011,CBPF,0,8025682,03-2011,36
13,2011,CBPF,0,3098400,04-2011,87
63,2011,CBPF,0,2882264,04-2011,87
119,2011,CBPF,0,70316,04-2011,74
162,2011,CBPF,0,17442675,04-2011,27
162,2011,CBPF,0,28101034,04-2011,80
183,2011,CBPF,0,1442307,04-2011,105
13,2011,CBPF,0,4268000,05-2011,27
124,2011,CBPF,0,5000000,05-2011,27
124,2011,CBPF,0,6000000,05-2011,87
162,2011,CBPF,0,3945295,05-2011,87
162,2011,CBPF,0,1326919,05-2011,73
183,2011,CBPF,0,16857341,05-2011,80
86,2011,CBPF,0,1276823,06-2011,18
86,2011,CBPF,0,1986169,06-2011,27
86,2011,CBPF,0,567476,06-2011,87
86,2011,CBPF,0,1276823,06-2011,80
88,2011,CBPF,0,709609,06-2011,36
129,2011,CBPF,0,916926,06-2011,74
147,2011,CBPF,0,14245,06-2011,22
158,2011,CBPF,0,6760950,06-2011,27
158,2011,CBPF,0,9350250,06-2011,80
162,2011,CBPF,0,4703233,06-2011,18
162,2011,CBPF,0,773754,06-2011,105
163,2011,CBPF,0,588858,06-2011,87
183,2011,CBPF,0,986842,06-2011,105
52,2011,CBPF,0,3836562,07-2011,36
52,2011,CBPF,0,5704181,07-2011,87
129,2011,CBPF,0,916926,07-2011,36
129,2011,CBPF,0,5063718,07-2011,80
163,2011,CBPF,0,600240,07-2011,36
183,2011,CBPF,0,9584664,07-2011,36
15,2011,CBPF,0,100000,08-2011,87
124,2011,CBPF,0,6875000,08-2011,36
124,2011,CBPF,0,8125000,08-2011,80
162,2011,CBPF,0,6163328,08-2011,36
180,2011,CBPF,0,93,08-2011,36
183,2011,CBPF,0,6530400,08-2011,87
52,2011,CBPF,0,1950078,09-2011,36
52,2011,CBPF,0,3762439,09-2011,87
73,2011,CBPF,0,75000,09-2011,87
124,2011,CBPF,0,12500000,09-2011,87
158,2011,CBPF,0,685871,09-2011,22
158,2011,CBPF,0,726744,09-2011,36
158,2011,CBPF,0,726744,09-2011,73
86,2011,CBPF,0,682128,10-2011,36
129,2011,CBPF,0,937988,10-2011,74
140,2011,CBPF,0,10000,10-2011,87
163,2011,CBPF,0,1116071,10-2011,36
163,2011,CBPF,0,2785515,10-2011,87
86,2011,CBPF,0,683025,11-2011,87
86,2011,CBPF,0,273597,11-2011,105
135,2011,CBPF,0,313542,11-2011,87
52,2011,CBPF,0,1734755,12-2010,87
52,2011,CBPF,0,3051516,12-2010,80
183,2011,CBPF,0,15877185,12-2010,27
183,2011,CBPF,0,8331675,12-2010,87
13,2011,CBPF,0,1002004,12-2011,105
86,2011,CBPF,0,280000,12-2011,36
86,2011,CBPF,0,803972,12-2011,87
109,2011,CBPF,0,652200,12-2011,27
124,2011,CBPF,0,200000,12-2011,87
124,2011,CBPF,0,6250000,12-2011,80
129,2011,CBPF,0,1023541,12-2011,22
129,2011,CBPF,0,1672097,12-2011,27
129,2011,CBPF,0,10346281,12-2011,87
129,2011,CBPF,0,1705902,12-2011,73
162,2011,CBPF,0,2170452,12-2011,67
162,2011,CBPF,0,4531375,12-2011,87
162,2011,CBPF,0,1446968,12-2011,105
163,2011,CBPF,0,542888,12-2011,105
183,2011,CBPF,0,19371250,12-2011,27
183,2011,CBPF,0,876435,12-2011,87
163,2012,CBPF,0,1280683,01-2012,87
52,2012,CBPF,0,889521,01-2013,36
52,2012,CBPF,0,5332480,02-2012,87
129,2012,CBPF,0,10235215,02-2012,80
180,2012,CBPF,0,302,02-2012,45
183,2012,CBPF,0,25086400,02-2012,87
183,2012,CBPF,0,23583918,02-2012,88
183,2012,CBPF,0,12841091,03-2011,36
13,2012,CBPF,0,4243200,03-2012,88
13,2012,CBPF,0,2121600,03-2012,80
63,2012,CBPF,0,3990600,03-2012,87
86,2012,CBPF,0,1817194,03-2012,18
86,2012,CBPF,0,2466192,03-2012,27
86,2012,CBPF,0,2466192,03-2012,87
86,2012,CBPF,0,1168196,03-2012,88
86,2012,CBPF,0,1168196,03-2012,80
129,2012,CBPF,0,6053792,03-2012,88
162,2012,CBPF,0,6004527,03-2012,88
183,2012,CBPF,0,1582278,03-2012,105
86,2012,CBPF,0,265604,04-2012,105
129,2012,CBPF,0,5173727,04-2012,27
162,2012,CBPF,0,11128474,04-2012,88
183,2012,CBPF,0,25091325,04-2012,80
52,2012,CBPF,0,5123825,05-2012,88
52,2012,CBPF,0,3415883,05-2012,80
129,2012,CBPF,0,872448,05-2012,36
162,2012,CBPF,0,1431874,05-2012,18
13,2012,CBPF,0,4052400,06-2012,87
52,2012,CBPF,0,3295143,06-2012,80
86,2012,CBPF,0,1750686,06-2012,88
86,2012,CBPF,0,1750686,06-2012,80
98,2012,CBPF,0,500000,06-2012,105
162,2012,CBPF,0,15735474,06-2012,27
162,2012,CBPF,0,11882404,06-2012,80
183,2012,CBPF,0,27256250,06-2012,27
67,2012,CBPF,0,1240949,07-2012,87
109,2012,CBPF,0,312013,07-2012,27
124,2012,CBPF,0,8571429,07-2012,88
129,2012,CBPF,0,3288361,07-2012,27
162,2012,CBPF,0,6852934,07-2012,87
162,2012,CBPF,0,1132182,07-2012,73
13,2012,CBPF,0,5182812,08-2012,87
86,2012,CBPF,0,1822545,08-2012,27
86,2012,CBPF,0,1825471,08-2012,87
124,2012,CBPF,0,6428571,08-2012,36
129,2012,CBPF,0,3332240,08-2012,87
163,2012,CBPF,0,510204,08-2012,36
163,2012,CBPF,0,520768,08-2012,87
183,2012,CBPF,0,8299036,08-2012,80
183,2012,CBPF,0,1883830,08-2012,105
13,2012,CBPF,0,5102500,09-2012,88
52,2012,CBPF,0,1684636,09-2012,105
86,2012,CBPF,0,627352,09-2012,36
86,2012,CBPF,0,250941,09-2012,105
86,2012,CBPF,0,62735,09-2012,73
124,2012,CBPF,0,8500000,09-2012,87
129,2012,CBPF,0,861178,09-2012,74
162,2012,CBPF,0,2965371,09-2012,27
183,2012,CBPF,0,25349606,09-2012,88
162,2012,CBPF,0,1506337,10-2012,80
86,2012,CBPF,0,646656,11-2012,18
86,2012,CBPF,0,646656,11-2012,27
86,2012,CBPF,0,465673,11-2012,36
124,2012,CBPF,0,11428571,11-2012,88
124,2012,CBPF,0,5000000,11-2012,80
158,2012,CBPF,0,647668,11-2012,22
158,2012,CBPF,0,647668,11-2012,36
158,2012,CBPF,0,647668,11-2012,73
162,2012,CBPF,0,1489460,11-2012,18
162,2012,CBPF,0,4515352,11-2012,36
162,2012,CBPF,0,2227891,11-2012,88
163,2012,CBPF,0,537634,11-2012,105
183,2012,CBPF,0,17754694,11-2012,27
22,2012,CBPF,0,5389516,12-2011,27
13,2012,CBPF,0,1043841,12-2012,67
52,2012,CBPF,0,1045296,12-2012,73
67,2012,CBPF,0,1307000,12-2012,87
86,2012,CBPF,0,3923972,12-2012,27
129,2012,CBPF,0,529661,12-2012,22
129,2012,CBPF,0,6052837,12-2012,88
158,2012,CBPF,0,3843056,12-2012,27
158,2012,CBPF,0,3843056,12-2012,80
162,2012,CBPF,0,1482574,12-2012,80
162,2012,CBPF,0,1502403,12-2012,105
163,2012,CBPF,0,107991,12-2012,36
163,2012,CBPF,0,431965,12-2012,105
163,2012,CBPF,0,539956,12-2012,73
183,2012,CBPF,0,4815409,12-2012,74
80,2013,CBPF,0,100000,01-2013,73
180,2013,CBPF,0,200,01-2013,45
